"Country","Continent","Percentage"
"A","Europe",100.0
"AFG","Asia",100.0
"AG","America",100.0
"AL","Europe",100.0
"AMSA","Australia/Oceania",100.0
"AND","Europe",100.0
"ANG","Africa",100.0
"ARM","Asia",100.0
"ARU","America",100.0
"AUS","Australia/Oceania",100.0
"AXA","America",100.0
"AZ","Asia",100.0
"B","Europe",100.0
"BD","Asia",100.0
"BDS","America",100.0
"BEN","Africa",100.0
"BERM","America",100.0
"BF","Africa",100.0
"BG","Europe",100.0
"BHT","Asia",100.0
"BI","Africa",100.0
"BIH","Europe",100.0
"BOL","America",100.0
"BR","America",100.0
"BRN","Asia",100.0
"BRU","Asia",100.0
"BS","America",100.0
"BVIR","America",100.0
"BY","Europe",100.0
"BZ","America",100.0
"C","America",100.0
"CAM","Africa",100.0
"CAYM","America",100.0
"CDN","America",100.0
"CH","Europe",100.0
"CI","Africa",100.0
"CL","Asia",100.0
"CO","America",100.0
"COCO","Australia/Oceania",100.0
"COM","Africa",100.0
"COOK","Australia/Oceania",100.0
"CR","America",100.0
"CV","Africa",100.0
"CY","Europe",100.0
"CZ","Europe",100.0
"D","Europe",100.0
"DJI","Africa",100.0
"DK","Europe",100.0
"DOM","America",100.0
"DZ","Africa",100.0
"E","Europe",100.0
"EAK","Africa",100.0
"EAT","Africa",100.0
"EAU","Africa",100.0
"EC","America",100.0
"ER","Africa",100.0
"ES","America",100.0
"ET","Africa",90.0
"ET","Asia",10.0
"ETH","Africa",100.0
"EW","Europe",100.0
"F","Europe",100.0
"FALK","America",100.0
"FARX","Europe",100.0
"FGU","America",100.0
"FJI","Australia/Oceania",100.0
"FL","Europe",100.0
"FPOL","Australia/Oceania",100.0
"FSM","Australia/Oceania",100.0
"G","Africa",100.0
"GAZA","Asia",100.0
"GB","Europe",100.0
"GBG","Europe",100.0
"GBJ","Europe",100.0
"GBM","Europe",100.0
"GBZ","Europe",100.0
"GCA","America",100.0
"GE","Asia",100.0
"GH","Africa",100.0
"GNB","Africa",100.0
"GQ","Africa",100.0
"GR","Europe",100.0
"GROX","America",100.0
"GUAD","America",100.0
"GUAM","Australia/Oceania",100.0
"GUY","America",100.0
"H","Europe",100.0
"HCA","America",100.0
"HELX","Australia/Oceania",100.0
"HONX","Asia",100.0
"HR","Europe",100.0
"I","Europe",100.0
"IL","Asia",100.0
"IND","Asia",100.0
"IR","Asia",100.0
"IRL","Europe",100.0
"IRQ","Asia",100.0
"IS","Europe",100.0
"J","Asia",100.0
"JA","America",100.0
"JOR","Asia",100.0
"K","Asia",100.0
"KAZ","Asia",100.0
"KGZ","Asia",100.0
"KIR","Australia/Oceania",100.0
"KN","America",100.0
"KOS","Europe",100.0
"KWT","Asia",100.0
"L","Europe",100.0
"LAO","Asia",100.0
"LAR","Africa",100.0
"LB","Africa",100.0
"LS","Africa",100.0
"LT","Europe",100.0
"LV","Europe",100.0
"M","Europe",100.0
"MA","Africa",100.0
"MACX","Asia",100.0
"MAL","Asia",100.0
"MART","America",100.0
"MAYO","Africa",100.0
"MC","Europe",100.0
"MD","Europe",100.0
"MEX","America",100.0
"MH","Australia/Oceania",100.0
"MK","Europe",100.0
"MNE","Europe",100.0
"MNG","Asia",100.0
"MNTS","America",100.0
"MOC","Africa",100.0
"MS","Africa",100.0
"MV","Asia",100.0
"MW","Africa",100.0
"MYA","Asia",100.0
"N","Europe",100.0
"NA","America",100.0
"NAM","Africa",100.0
"NAU","Australia/Oceania",100.0
"NCA","Australia/Oceania",100.0
"NEP","Asia",100.0
"NIC","America",100.0
"NIUE","Australia/Oceania",100.0
"NL","Europe",100.0
"NMIS","Australia/Oceania",100.0
"NOK","Asia",100.0
"NORF","Australia/Oceania",100.0
"NZ","Australia/Oceania",100.0
"OM","Asia",100.0
"P","Europe",100.0
"PA","America",100.0
"PAL","Australia/Oceania",100.0
"PE","America",100.0
"PITC","Australia/Oceania",100.0
"PK","Asia",100.0
"PL","Europe",100.0
"PNG","Australia/Oceania",100.0
"PR","America",100.0
"PY","America",100.0
"Q","Asia",100.0
"R","Asia",80.0
"R","Europe",20.0
"RA","America",100.0
"RB","Africa",100.0
"RC","Asia",100.0
"RCA","Africa",100.0
"RCB","Africa",100.0
"RCH","America",100.0
"REUN","Australia/Oceania",100.0
"RG","Africa",100.0
"RH","America",100.0
"RI","Asia",80.0
"RI","Australia/Oceania",20.0
"RIM","Africa",100.0
"RL","Asia",100.0
"RM","Africa",100.0
"RMM","Africa",100.0
"RN","Africa",100.0
"RO","Europe",100.0
"ROK","Asia",100.0
"ROU","America",100.0
"RP","Asia",100.0
"RSA","Africa",100.0
"RSM","Europe",100.0
"RT","Africa",100.0
"RWA","Africa",100.0
"S","Europe",100.0
"SA","Asia",100.0
"SD","Africa",100.0
"SF","Europe",100.0
"SGP","Asia",100.0
"SK","Europe",100.0
"SLB","Australia/Oceania",100.0
"SLO","Europe",100.0
"SMAR","America",100.0
"SME","America",100.0
"SN","Africa",100.0
"SP","Africa",100.0
"SPMI","America",100.0
"SRB","Europe",100.0
"STP","Africa",100.0
"SUD","Africa",100.0
"SVAX","Europe",100.0
"SY","Africa",100.0
"SYR","Asia",100.0
"TAD","Asia",100.0
"TCH","Africa",100.0
"THA","Asia",100.0
"TJ","Asia",100.0
"TL","Asia",100.0
"TM","Asia",100.0
"TN","Africa",100.0
"TO","Australia/Oceania",100.0
"TR","Asia",95.0
"TR","Europe",5.0
"TT","America",100.0
"TUCA","America",100.0
"TUV","Australia/Oceania",100.0
"UA","Europe",100.0
"UAE","Asia",100.0
"USA","America",100.0
"UZB","Asia",100.0
"V","Europe",100.0
"VIRG","America",100.0
"VN","Asia",100.0
"VU","Australia/Oceania",100.0
"WAFU","Australia/Oceania",100.0
"WAG","Africa",100.0
"WAL","Africa",100.0
"WAN","Africa",100.0
"WD","America",100.0
"WEST","Asia",100.0
"WG","America",100.0
"WL","America",100.0
"WS","Australia/Oceania",100.0
"WSA","Africa",100.0
"WV","America",100.0
"XMAS","Australia/Oceania",100.0
"YE","Asia",100.0
"YV","America",100.0
"Z","Africa",100.0
"ZRE","Africa",100.0
"ZW","Africa",100.0
