"Sea1","Sea2"
"Arctic Ocean","Atlantic Ocean"
"Arctic Ocean","Barents Sea"
"Arctic Ocean","Bering Sea"
"Atlantic Ocean","Caribbean Sea"
"Arabian Sea","Gulf of Aden"
"Andaman Sea","Gulf of Bengal"
"Atlantic Ocean","Gulf of Mexico"
"Caribbean Sea","Gulf of Mexico"
"Arabian Sea","Gulf of Oman"
"Andaman Sea","Indian Ocean"
"Arabian Sea","Indian Ocean"
"Atlantic Ocean","Indian Ocean"
"Gulf of Aden","Indian Ocean"
"Gulf of Oman","Indian Ocean"
"Atlantic Ocean","Irish Sea"
"Andaman Sea","Malakka Strait"
"Atlantic Ocean","Mediterranean Sea"
"Black Sea","Mediterranean Sea"
"Atlantic Ocean","North Sea"
"Baltic Sea","North Sea"
"Arctic Ocean","Norwegian Sea"
"Atlantic Ocean","Norwegian Sea"
"Barents Sea","Norwegian Sea"
"North Sea","Norwegian Sea"
"Atlantic Ocean","Pacific Ocean"
"Bering Sea","Pacific Ocean"
"East China Sea","Pacific Ocean"
"Gulf of Bengal","Pacific Ocean"
"Indian Ocean","Pacific Ocean"
"Gulf of Oman","Persian Gulf"
"Gulf of Aden","Red Sea"
"Black Sea","Sea of Azov"
"East China Sea","Sea of Japan"
"Pacific Ocean","Sea of Japan"
"Pacific Ocean","Sea of Okhotsk"
"Sea of Japan","Sea of Okhotsk"
"Arctic Ocean","Sibirian Sea"
"Barents Sea","Sibirian Sea"
"Kattegat","Skagerrak"
"North Sea","Skagerrak"
"East China Sea","South China Sea"
"Malakka Strait","South China Sea"
"Pacific Ocean","South China Sea"
"Pacific Ocean","Sulawesi Sea"
"South China Sea","Sulawesi Sea"
"Gulf of Bengal","Sunda Sea"
"Indian Ocean","Sunda Sea"
"Pacific Ocean","Sunda Sea"
"South China Sea","Sunda Sea"
"Sulawesi Sea","Sunda Sea"
"Atlantic Ocean","The Channel"
"North Sea","The Channel"
"East China Sea","Yellow Sea"
"Sea of Japan","Yellow Sea"
