"Mountain","Island"
"Mt. Odin","Baffin Island"
"Gunung Agung","Bali"
"La Soufriere","Basse-Terre"
"Pico Basile","Bioko"
"Kinabalu","Borneo"
"Mt. Balbi","Bougainville"
"Gunung Binaiya","Ceram"
"Monte Cinto","Corse"
"Pico Turquino","Cuba"
"Olympos","Cyprus"
"Morne Diablotins","Dominica"
"Barbeau Peak","Ellesmere Island"
"Fogo","Fogo"
"Pico de los Nieves","Gran Canaria"
"Ben Nevis","Great Britain"
"Popomanaseu","Guadalcanal"
"Mauna Kea","Hawaii"
"Mauna Loa","Hawaii"
"Pico Duarte","Hispaniola"
"Asahi-Dake","Hokkaido"
"Oraefajokull","Iceland"
"Snaefell","Iceland"
"Concepcion","Isla da Ometepe"
"Blue Mountain Peak","Jamaica"
"Merapi","Java"
"Semeru","Java"
"Krakatau","Krakatau"
"Psiloritis","Kreta"
"Roque de los Muchachos","La Palma"
"Rinjani","Lombok"
"Pinatubo","Luzon"
"Pulog","Luzon"
"Andringitra","Madagaskar"
"Tsaratanana","Madagaskar"
"Tsiafajavona","Madagaskar"
"Pico Ruivo","Madeira"
"Pelee","Martinique"
"Haleakala","Maui"
"Mount Apo","Mindanao"
"Soufriere Hills","Montserrat"
"Kanlaon","Negros"
"Mt. Giluwe","New Guinea"
"Mt. Wilhelm","New Guinea"
"Puncak Jaya","New Guinea"
"Zhima","Olkhon"
"Mantalingajan","Palawan"
"Pico","Pico"
"Cerro de Punta","Puerto Rico"
"Mt. Babel","Rene Levasseur Island"
"Piton de la Fournaise","Reunion"
"Piton des Neiges","Reunion"
"Soufriere","Saint Vincent"
"Pico de Sao Tome","Sao Tome"
"Silisili","Savaii"
"Etna","Sicilia"
"Rantekombola","Sulawesi"
"Kerinci","Sumatra"
"Leuser","Sumatra"
"Tambora","Sumbawa"
"Mont Orohena","Tahiti"
"Yu Shan","Taiwan"
"Ruapehu","Te Ika-a-Maui (North Island)"
"Mt. Cook","Te Waka-a-Maui (South Island)"
"Pico de Teide","Teneriffa"
"Tatamailau","Timor"
"Queen Marys Peak","Tristan Da Cunha"
"Mt.Victoria","Viti Levu"
