"Country","Independence","Dependent","Government"
"A","1918-11-12","","federal republic"
"AFG","1919-08-19","","transitional government"
"AG","1981-11-01","","parliamentary democracy"
"AL","1912-11-28","","emerging democracy"
"AMSA","","USA","unincorporated and unorganized territory of the US"
"AND","","","parliamentary democracy that retains as its heads of state a coprincipality"
"ANG","1975-11-11","","transitional government nominally a multiparty democracy with a strong presidential system"
"ARM","1918-05-28","","republic"
"ARU","","NL","part of the Dutch realm"
"AUS","1901-01-01","","federal parliamentary state"
"AXA","","GB","British Overseas Territories"
"AZ","1991-08-30","","republic"
"B","1830-10-04","","constitutional monarchy"
"BD","1971-12-16","","republic"
"BDS","1966-11-30","","parliamentary democracy"
"BEN","1960-08-01","","republic under multiparty democratic rule dropped Marxism Leninism December 1989"
"BERM","","GB","British Overseas Territories"
"BF","1960-08-05","","parliamentary"
"BG","1908-09-22","","emerging democracy"
"BHT","1949-08-08","","monarchy"
"BI","1962-07-01","","republic"
"BIH","1992-04-01","","emerging democracy"
"BOL","1825-08-06","","republic"
"BR","1822-09-07","","federal republic"
"BRN","1971-08-15","","traditional monarchy"
"BRU","1984-01-01","","constitutional sultanate"
"BS","1973-07-10","","commonwealth"
"BVIR","","GB","British Overseas Territories"
"BY","1991-08-25","","republic"
"BZ","1981-09-21","","parliamentary democracy"
"C","1902-05-20","","Communist state"
"CAM","1960-01-01","","unitary republic"
"CAYM","","GB","British Overseas Territories"
"CDN","1867-07-01","","confederation with parliamentary democracy"
"CH","","","federal republic"
"CI","1960-08-07","","republic"
"CL","1948-02-04","","republic"
"CO","1810-07-20","","republic"
"COCO","","AUS","territory of Australia"
"COM","1975-07-06","","independent republic"
"COOK","","NZ","self governing parliamentary government in free association with New Zealand"
"CR","1821-09-15","","democratic republic"
"CV","1975-07-05","","republic"
"CY","1960-08-16","","republic"
"CZ","1993-01-01","","parliamentary democracy"
"D","1871-01-18","","federal republic"
"DJI","1977-06-27","","republic"
"DK","","","constitutional monarchy"
"DOM","1844-02-27","","republic"
"DZ","1962-07-05","","republic"
"E","1492-01-01","","parliamentary monarchy"
"EAK","1963-12-12","","republic"
"EAT","1964-04-26","","republic"
"EAU","1962-10-09","","republic"
"EC","1822-05-24","","republic"
"ER","1993-05-27","","transitional government"
"ES","1821-09-15","","republic"
"ET","1922-02-28","","republic"
"ETH","","","federal republic"
"EW","1991-09-06","","republic"
"F","","","republic"
"FALK","","GB","British Overseas Territories"
"FARX","","DK","part of the Danish realm"
"FGU","","F","overseas department of France"
"FJI","1970-10-10","","republic"
"FL","1719-01-23","","hereditary constitutional monarchy"
"FPOL","","F","overseas territory of France since 1946"
"FSM","1986-11-03","","constitutional government in free association with the US"
"G","1960-08-17","","republic"
"GAZA","","",""
"GB","1801-01-01","","constitutional monarchy"
"GBG","","GB","British crown dependency"
"GBJ","","GB","British crown dependency"
"GBM","","GB","British crown dependency"
"GBZ","","GB","dependent territory of the UK"
"GCA","1821-09-15","","republic"
"GE","1991-04-09","","republic"
"GH","1957-03-06","","constitutional democracy"
"GNB","1974-09-10","","republic"
"GQ","1968-10-12","","republic in transition to multiparty democracy"
"GR","1829-01-01","","parliamentary republic"
"GROX","","DK","part of the Danish realm"
"GUAD","","F","overseas department of France"
"GUAM","","USA","organized"
"GUY","1966-05-26","","republic"
"H","1001-01-01","","republic"
"HCA","1821-09-15","","republic"
"HELX","","GB","British Overseas Territories"
"HONX","","TJ","special administrative area in China"
"HR","1991-06-25","","parliamentary democracy"
"I","1861-03-17","","republic"
"IL","1948-05-14","","republic"
"IND","1947-08-15","","federal republic"
"IR","1979-04-01","","theocratic republic"
"IRL","1921-12-06","","republic"
"IRQ","1932-10-03","","republic"
"IS","1944-06-17","","republic"
"J","","","constitutional monarchy"
"JA","1962-08-06","","parliamentary democracy"
"JOR","1946-05-25","","constitutional monarchy"
"K","1949-11-09","","multiparty liberal democracy under a constitutional monarchy established in September 1993"
"KAZ","1991-12-16","","republic"
"KGZ","1991-08-31","","republic"
"KIR","1979-07-12","","republic"
"KN","1983-09-19","","constitutional monarchy"
"KOS","2008-02-17","","republic"
"KWT","1961-06-19","","nominal constitutional monarchy"
"L","","","constitutional monarchy"
"LAO","1949-07-19","","Communist state"
"LAR","1951-12-24","","Jamahiriya in theory"
"LB","","","republic"
"LS","1966-10-04","","modified constitutional monarchy"
"LT","1991-09-06","","republic"
"LV","1991-09-06","","republic"
"M","1964-09-21","","parliamentary democracy"
"MA","1956-03-02","","constitutional monarchy"
"MACX","","TJ","special administrative area in China"
"MAL","1957-08-31","","constitutional monarchy"
"MART","","F","overseas department of France"
"MAYO","","F","territorial collectivity of France"
"MC","1419-01-01","","constitutional monarchy"
"MD","1991-08-27","","republic"
"MEX","1810-09-16","","federal republic operating under a centralized government"
"MH","1986-10-21","","constitutional government in free association with the US"
"MK","1991-09-17","","emerging democracy"
"MNE","2006-06-03","","parliamentary democracy"
"MNG","1921-03-13","","republic"
"MNTS","","GB","British Overseas Territories"
"MOC","1975-06-25","","republic"
"MS","1968-03-12","","parliamentary democracy"
"MV","1965-07-26","","republic"
"MW","1964-07-06","","multiparty democracy"
"MYA","1948-01-04","","military regime"
"N","1905-10-26","","constitutional monarchy"
"NA","","NL","part of the Dutch realm"
"NAM","1990-03-21","","republic"
"NAU","1968-01-31","","republic"
"NCA","","F","overseas territory of France since 1956"
"NEP","1768-01-01","","parliamentary democracy as of 12 May 1991"
"NIC","1821-09-15","","republic"
"NIUE","1974-10-19","","self governing territory in free association with New Zealand"
"NL","1579-01-01","","constitutional monarchy"
"NMIS","","USA","commonwealth in political union with the US"
"NOK","","","Communist state"
"NORF","","AUS","territory of Australia"
"NZ","1907-09-26","","parliamentary democracy"
"OM","1650-01-01","","monarchy"
"P","1140-01-01","","republic"
"PA","1903-11-03","","constitutional republic"
"PAL","1994-10-01","","constitutional government in free association with the US"
"PE","1821-07-28","","republic"
"PITC","","GB","British Overseas Territories"
"PK","1947-08-14","","republic"
"PL","1918-11-11","","democratic state"
"PNG","1975-09-16","","parliamentary democracy"
"PR","","USA","commonwealth associated with the US"
"PY","1811-05-14","","republic"
"Q","1971-09-03","","traditional monarchy"
"R","1991-08-24","","federation"
"RA","1816-07-09","","republic"
"RB","1966-09-30","","parliamentary republic"
"RC","","","multiparty democratic regime"
"RCA","1960-08-13","","republic"
"RCB","1960-08-15","","republic"
"RCH","1810-09-18","","republic"
"REUN","","F","overseas department of France"
"RG","1958-10-02","","republic"
"RH","1804-01-01","","republic"
"RI","1945-08-17","","republic"
"RIM","1960-11-28","","republic"
"RL","1943-11-22","","republic"
"RM","1960-06-26","","republic"
"RMM","1960-09-22","","republic"
"RN","1960-08-03","","republic"
"RO","1881-01-01","","republic"
"ROK","","","republic"
"ROU","1828-08-25","","republic"
"RP","1946-07-04","","republic"
"RSA","1910-05-31","","republic"
"RSM","0301-01-01","","republic"
"RT","1960-04-27","","republic under transition to multiparty democratic rule"
"RWA","1962-07-01","","republic"
"S","","","constitutional monarchy"
"SA","1932-09-23","","monarchy"
"SD","1968-09-06","","monarchy"
"SF","1917-12-06","","republic"
"SGP","1965-08-09","","republic within Commonwealth"
"SK","1993-01-01","","parliamentary democracy"
"SLB","1978-07-07","","parliamentary democracy"
"SLO","1991-06-25","","emerging democracy"
"SMAR","","F","overseas collectivity of France"
"SME","1975-11-25","","republic"
"SN","1960-08-20","","republic under multiparty democratic rule"
"SP","1960-07-01","","none"
"SPMI","","F","territorial collectivity of France"
"SRB","2006-06-05","","parliamentary democracy"
"STP","1975-07-12","","republic"
"SUD","1956-01-01","","transitional previously ruling military junta"
"SVAX","","N","territory of Norway administered by the Ministry of Industry"
"SY","1976-06-29","","republic"
"SYR","1946-04-17","","republic under military regime since March 1963"
"TAD","1991-09-09","","republic"
"TCH","1960-08-11","","republic"
"THA","1238-01-01","","constitutional monarchy"
"TJ","","","Communist state"
"TL","2002-05-20","","parliamentary democracy"
"TM","1991-10-27","","republic"
"TN","1956-03-20","","republic"
"TO","1970-06-04","","hereditary constitutional monarchy"
"TR","1923-10-29","","republican parliamentary democracy"
"TT","1962-08-31","","parliamentary democracy"
"TUCA","","GB","British Overseas Territories"
"TUV","1978-10-01","","democracy"
"UA","1991-12-01","","republic"
"UAE","1971-12-02","","federation with specified powers delegated to the UAE central government and other powers reserved to member emirates"
"USA","1776-07-04","","federal republic"
"UZB","1991-08-31","","republic"
"V","1929-02-11","","monarchical sacerdotal state"
"VIRG","","","organized"
"VN","1945-09-02","","Communist state"
"VU","1980-07-30","","republic"
"WAFU","","F","overseas territory of France"
"WAG","1965-02-18","","republic under multiparty democratic rule"
"WAL","1961-04-27","","constitutional democracy"
"WAN","1960-10-01","","military government"
"WD","1978-11-03","","parliamentary democracy"
"WEST","","",""
"WG","1974-02-07","","parliamentary democracy"
"WL","1979-02-22","","parliamentary democracy"
"WS","1962-01-01","","constitutional monarchy under native chief"
"WSA","","","legal status of territory and question of sovereignty unresolved"
"WV","1979-10-27","","constitutional monarchy"
"XMAS","","AUS","territory of Australia"
"YE","1990-05-22","","republic"
"YV","1811-07-05","","republic"
"Z","1964-10-24","","republic"
"ZRE","1960-06-30","","republic with a strong presidential system"
"ZW","1980-04-18","","parliamentary democracy"
