"Country","Target"
"A","Christian"
"AFG","non-Christian"
"AL","non-Christian"
"AMSA","Christian"
"AND","Christian"
"ANG","Christian"
"ARM","Christian"
"ARU","Christian"
"AUS","Christian"
"AXA","Christian"
"AZ","non-Christian"
"B","Christian"
"BD","non-Christian"
"BDS","Christian"
"BEN","non-Christian"
"BERM","Christian"
"BF","non-Christian"
"BG","Christian"
"BHT","non-Christian"
"BI","Christian"
"BIH","non-Christian"
"BOL","Christian"
"BR","Christian"
"BRN","non-Christian"
"BRU","non-Christian"
"BS","Christian"
"BVIR","Christian"
"BY","Christian"
"BZ","Christian"
"C","Christian"
"CAM","Christian"
"CAYM","Christian"
"CDN","Christian"
"CH","Christian"
"CI","non-Christian"
"CL","non-Christian"
"CO","Christian"
"COCO","non-Christian"
"COM","non-Christian"
"COOK","Christian"
"CR","Christian"
"CV","Christian"
"CY","Christian"
"CZ","Christian"
"D","Christian"
"DJI","non-Christian"
"DK","Christian"
"DOM","Christian"
"DZ","non-Christian"
"E","Christian"
"EAK","Christian"
"EC","Christian"
"ES","Christian"
"ET","non-Christian"
"ETH","non-Christian"
"F","Christian"
"FARX","Christian"
"FGU","Christian"
"FJI","Christian"
"FL","Christian"
"FPOL","Christian"
"FSM","Christian"
"G","Christian"
"GAZA","non-Christian"
"GBZ","Christian"
"GE","Christian"
"GH","non-Christian"
"GNB","non-Christian"
"GQ","Christian"
"GR","Christian"
"GROX","Christian"
"GUAD","Christian"
"GUAM","Christian"
"GUY","Christian"
"H","Christian"
"HCA","Christian"
"HONX","Christian"
"HR","Christian"
"I","Christian"
"IL","non-Christian"
"IND","non-Christian"
"IR","non-Christian"
"IRL","Christian"
"IRQ","non-Christian"
"IS","Christian"
"J","non-Christian"
"JA","Christian"
"JOR","non-Christian"
"K","non-Christian"
"KAZ","non-Christian"
"KIR","Christian"
"KWT","non-Christian"
"L","Christian"
"LAO","non-Christian"
"LAR","non-Christian"
"LB","non-Christian"
"LS","Christian"
"M","Christian"
"MA","non-Christian"
"MACX","non-Christian"
"MART","Christian"
"MAYO","non-Christian"
"MC","Christian"
"MD","Christian"
"MEX","Christian"
"MH","Christian"
"MK","Christian"
"MNE","Christian"
"MNG","non-Christian"
"MOC","Christian"
"MS","non-Christian"
"MV","non-Christian"
"MW","Christian"
"MYA","non-Christian"
"N","Christian"
"NAM","Christian"
"NAU","Christian"
"NCA","Christian"
"NEP","non-Christian"
"NIC","Christian"
"NIUE","Christian"
"NL","Christian"
"NORF","Christian"
"NZ","Christian"
"OM","non-Christian"
"P","Christian"
"PA","Christian"
"PE","Christian"
"PITC","Christian"
"PK","non-Christian"
"PL","Christian"
"PNG","Christian"
"PR","Christian"
"PY","Christian"
"Q","non-Christian"
"RA","Christian"
"RB","Christian"
"RC","non-Christian"
"RCB","Christian"
"RCH","Christian"
"REUN","Christian"
"RG","non-Christian"
"RH","Christian"
"RI","non-Christian"
"RIM","non-Christian"
"RL","non-Christian"
"RM","Christian"
"RMM","non-Christian"
"RN","non-Christian"
"RO","Christian"
"ROK","Christian"
"ROU","Christian"
"RP","Christian"
"RSA","non-Christian"
"RSM","Christian"
"RT","Christian"
"RWA","Christian"
"S","Christian"
"SA","non-Christian"
"SD","Christian"
"SF","Christian"
"SK","Christian"
"SLB","Christian"
"SLO","Christian"
"SME","non-Christian"
"SN","non-Christian"
"SP","non-Christian"
"SPMI","Christian"
"SRB","Christian"
"SUD","non-Christian"
"SY","Christian"
"SYR","non-Christian"
"TAD","non-Christian"
"TCH","non-Christian"
"THA","non-Christian"
"TJ","non-Christian"
"TL","Christian"
"TM","non-Christian"
"TN","non-Christian"
"TO","Christian"
"TR","non-Christian"
"TT","Christian"
"TUCA","Christian"
"TUV","non-Christian"
"UAE","non-Christian"
"USA","Christian"
"UZB","non-Christian"
"V","Christian"
"VIRG","Christian"
"VU","Christian"
"WAFU","Christian"
"WAG","non-Christian"
"WAL","non-Christian"
"WAN","non-Christian"
"WD","Christian"
"WEST","non-Christian"
"WL","Christian"
"WS","Christian"
"WSA","non-Christian"
"XMAS","non-Christian"
"YV","Christian"
"Z","Christian"
"ZRE","Christian"
"ZW","Christian"
